Name,Length,Album,Year
In Bold Print,3:59,Colors of I,2021
Cutting Edge,2:45,Leaving Olympus,2019
Grey Storm,3:24,Leaving Olympus,2019
Dreams of Drifting,4:17,Leaving Olympus,2019
On and On,4:08,Clean Sweep,2020
Take My Word,3:56,Clean Sweep,2020
Beyond These Walls,2:24,Qualm Sundae,2020
Falcon's View,3:05,Qualm Sundae,2020
Elliewood,3:00,Qualm Sundae,2020
Time On My Side,2:42,Colors of I,2021
Hangfire,1:52,Colors of I,2021
Protect and Serve,1:36,Colors of I,2021
Trial of the Scourge,2:53,Colors of I,2021
Ash,1:45,Colors of I,2021
One Less Day,4:20,Colors of I,2021
Doldrums,2:30,Colors of I,2021
"Glory, Glory",6:10,Colors of I,2021
Guess I Am Obliged,2:09,The Blind Hunter,2023
Neck Romancer,3:12,The Blind Hunter,2023
Sky Behind Your Eyes,3:01,The Blind Hunter,2023
Qu'ils Mangent,3:26,The Blind Hunter,2023
The Blind Hunter,3:39,The Blind Hunter,2023
