Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5OmumaYiHYXUsYZPGLFTYJ,"0epOFNiUfyON9EYx7Tpr6V","Between Love & Hate","Room On Fire","The Strokes",2003-10-28,196573,55,spotify:user:1267082388,2018-09-05T12:31:55Z,"alternative rock,garage rock,modern rock,permanent wave,rock",0.455,0.603,9,-4.919,1,0.0255,0.0000634,0.53,0.0966,0.539,104.179,4
2aibwv5hGXSgw7Yru8IYTO,"0L8ExT028jH3ddEcZwqJJ5","Snow (Hey Oh)","Stadium Arcadium","Red Hot Chili Peppers",2006-05-09,334666,83,spotify:user:1267082388,2018-09-05T12:31:06Z,"alternative rock,funk metal,funk rock,permanent wave,rock",0.427,0.9,11,-3.674,1,0.0499,0.116,0.0000175,0.119,0.599,104.655,4
3Ngl8Fn5UtCl2K7UD7EF9e,"0hEurMDQu99nJRq8pTxO14","Only Heart","Heavier Things","John Mayer",2003-09-09,228906,45,spotify:user:1267082388,2018-10-09T17:55:46Z,"neo mellow,singer-songwriter",0.665,0.841,5,-2.619,1,0.034,0.0377,0.000336,0.103,0.951,120.946,4
2SknHmwY6GiOv6aK7YRahd,"2ibPkysx2PXqWLmxFD7jSg","Rock This Town","Built For Speed","Stray Cats",1982-01-01,207000,51,spotify:user:1267082388,2018-10-10T13:58:08Z,"instrumental surf,rockabilly",0.254,0.853,2,-10.218,1,0.0517,0.104,0,0.242,0.711,201.952,4
21Ay8Y9Pr91nSauPGtK6MW,"0epOFNiUfyON9EYx7Tpr6V","Barely Legal","Is This It","The Strokes",2001-07-30,234693,55,spotify:user:agutog,2018-11-03T19:49:33Z,"alternative rock,garage rock,modern rock,permanent wave,rock",0.424,0.884,0,-6.286,1,0.0365,0.00326,0.0499,0.0903,0.852,157.813,4
2AkjEtum3SrtNW4WHZErTA,"0L8ExT028jH3ddEcZwqJJ5","Dosed","By the Way","Red Hot Chili Peppers",2002-07-09,311693,49,spotify:user:agutog,2018-10-26T22:17:16Z,"alternative rock,funk metal,funk rock,permanent wave,rock",0.565,0.776,4,-4.161,0,0.0282,0.00856,0.000136,0.111,0.326,104.346,4
1G391cbiT3v3Cywg8T7DM1,"0L8ExT028jH3ddEcZwqJJ5","Scar Tissue","Californication (Deluxe Edition)","Red Hot Chili Peppers",1999-06-08,215906,85,spotify:user:agutog,2018-10-27T19:07:24Z,"alternative rock,funk metal,funk rock,permanent wave,rock",0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,4
3geFzA6VBSNZUTmV3bCry6,"7Ln80lUS6He07XvHI8qqHH","Mardy Bum","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-02-21,175440,6,spotify:user:1267082388,2018-10-24T23:12:55Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.634,0.599,2,-5.447,1,0.0365,0.0288,0,0.197,0.312,112.215,4
0OM9ri37LIbPc9hffwsyb1,"0epOFNiUfyON9EYx7Tpr6V","Hard To Explain","Is This It","The Strokes",2001-07-30,224333,63,spotify:user:1267082388,2018-09-25T01:59:04Z,"alternative rock,garage rock,modern rock,permanent wave,rock",0.408,0.666,7,-6.286,1,0.0578,0.000455,0.862,0.0889,0.666,82.523,4
7bfocP7GYoLOutUYpTI8tx,"0epOFNiUfyON9EYx7Tpr6V","Welcome To Japan","Comedown Machine","The Strokes",2013-03-25,230826,64,spotify:user:agutog,2018-11-05T16:10:00Z,"alternative rock,garage rock,modern rock,permanent wave,rock",0.705,0.666,2,-7.23,0,0.0303,0.00233,0.0149,0.174,0.646,124.032,4
